time,x,y,orientation
1248297556.136,1.298129,1.8831521,2.8287
1248297556.173,1.2981816,1.8832126,2.8288
1248297556.202,1.2981676,1.8832113,2.8288
1248297556.222,1.2980934,1.8831954,2.8285
1248297556.224,1.2980668,1.8831911,2.8284
1248297556.249,1.2980512,1.8831828,2.8284
1248297556.277,1.2980828,1.8831343,2.8283
1248297556.305,1.2980982,1.8831334,2.8283
1248297556.333,1.2981378,1.8831453,2.8286
1248297556.335,1.2981396,1.8831546,2.8286
1248297556.381,1.2981299,1.883184,2.8287
1248297556.385,1.2981352,1.8831838,2.8287
1248297556.425,1.2981208,1.8831873,2.8286
1248297556.45,1.2981047,1.8831856,2.8285
1248297556.482,1.2979989,1.8831543,2.8289
1248297556.484,1.2979329,1.8831711,2.8297
1248297556.54,1.2972804,1.8833916,2.8373
1248297556.576,1.2951431,1.8840981,2.8538
1248297556.625,1.2927132,1.8850409,2.8687
1248297556.653,1.2923633,1.885194,2.871
1248297556.68,1.2912796,1.8855485,2.8778
1248297556.682,1.2910239,1.8855586,2.8793
1248297556.73,1.2896312,1.8855654,2.8868
1248297556.787,1.2872402,1.8864534,2.9025
1248297556.801,1.2867495,1.8867725,2.9063
1248297556.835,1.2843877,1.8880561,2.9207
1248297556.865,1.2839226,1.8881507,2.9224
1248297556.894,1.2819861,1.8880715,2.9275
1248297556.947,1.2781626,1.8886424,2.9402
1248297556.978,1.2774429,1.8888969,2.9431
1248297556.998,1.2732553,1.8901051,2.9576
1248297557.028,1.2723102,1.8902538,2.9603
1248297557.066,1.2676666,1.8906954,2.9706
1248297557.073,1.2669192,1.8907522,2.9724
1248297557.128,1.2644685,1.8910669,2.982
1248297557.182,1.2620863,1.8916416,2.999
1248297557.212,1.2615607,1.8917186,3.0023
1248297557.242,1.2583291,1.8917088,3.0145
1248297557.263,1.2576077,1.8916873,3.0162
1248297557.302,1.253765,1.8920461,3.024
1248297557.327,1.2529981,1.892207,3.0252
1248297557.362,1.2496345,1.8922204,3.0215
1248297557.401,1.2490307,1.8921254,3.0199
1248297557.42,1.2468286,1.8922585,3.0172
1248297557.423,1.2462374,1.8924723,3.0179
1248297557.483,1.2427937,1.8937571,3.0224
1248297557.537,1.2388649,1.8939642,3.0209
1248297557.544,1.2381158,1.8938827,3.02
1248297557.587,1.2349864,1.8941643,3.0212
1248297557.618,1.2344553,1.8944113,3.0221
1248297557.638,1.2315084,1.8955164,3.0231
1248297557.667,1.2308266,1.8955862,3.022
1248297557.699,1.2277406,1.8953522,3.0154
1248297557.75,1.2235376,1.8954265,3.0163
1248297557.782,1.2229667,1.8955872,3.0179
1248297557.811,1.2198887,1.8960367,3.0221
1248297557.84,1.2191953,1.8960115,3.0215
1248297557.867,1.2163438,1.8956867,3.0158
1248297557.889,1.2156921,1.8956459,3.0147
1248297557.92,1.213148,1.8962593,3.0169
1248297557.953,1.2126041,1.8965251,3.0185
1248297557.988,1.2090994,1.8975647,3.0237
1248297558.042,1.2047801,1.8972956,3.018
1248297558.071,1.2041449,1.8972589,3.0173
1248297558.104,1.2009534,1.8982258,3.0198
1248297558.124,1.2002596,1.8985133,3.0207
1248297558.156,1.1972968,1.8990083,3.0214
1248297558.184,1.1965567,1.8989225,3.0207
1248297558.214,1.1932041,1.8981666,3.0153
1248297558.246,1.1926238,1.8981639,3.015
1248297558.259,1.1902899,1.8990276,3.0193
1248297558.285,1.1897206,1.8993113,3.0207
1248297558.318,1.1872433,1.8999141,3.0232
1248297558.324,1.1865532,1.8998984,3.0227
1248297558.382,1.1830987,1.8993384,3.0172
1248297558.433,1.1791467,1.9003358,3.0197
1248297558.465,1.1784771,1.9006172,3.0208
1248297558.496,1.1751264,1.9011628,3.0197
1248297558.517,1.1744897,1.9010866,3.0184
1248297558.549,1.171647,1.9009279,3.0144
1248297558.585,1.1710248,1.9011245,3.0152
1248297558.608,1.1672641,1.9026496,3.0221
1248297558.638,1.1664304,1.9028478,3.0228
1248297558.663,1.1632757,1.9028502,3.0215
1248297558.687,1.1626259,1.9026929,3.0203
1248297558.722,1.1598651,1.9021754,3.0152
1248297558.752,1.1593253,1.9022765,3.0157
1248297558.786,1.1559221,1.9035255,3.0229
1248297558.848,1.1507608,1.9035539,3.0176
1248297558.9,1.1469716,1.9035602,3.0095
1248297558.922,1.1464934,1.9038176,3.0105
1248297558.97,1.1435119,1.9050913,3.0185
1248297559.03,1.1391839,1.9051432,3.0166
1248297559.086,1.1359607,1.9056188,3.0139
1248297559.123,1.1353554,1.90586,3.0146
1248297559.144,1.1325151,1.9065243,3.0169
1248297559.196,1.1280932,1.9060809,3.0131
1248297559.199,1.1274334,1.9060119,3.0124
1248297559.266,1.1244494,1.906671,3.0152
1248297559.282,1.123848,1.9069709,3.0168
1248297559.314,1.12045,1.9079803,3.0216
1248297559.343,1.1197437,1.9079957,3.0214
1248297559.369,1.1163321,1.9074968,3.0162
1248297559.39,1.1157438,1.9074284,3.0154
1248297559.422,1.1136352,1.9078761,3.0164
1248297559.451,1.1131352,1.9081385,3.0175
1248297559.482,1.1105343,1.9090127,3.0206
1248297559.54,1.1055661,1.9089407,3.0147
1248297559.598,1.1022681,1.9095234,3.0153
1248297559.661,1.0982781,1.910721,3.0217
1248297559.674,1.0974613,1.910723,3.0213
1248297559.721,1.0935425,1.9101673,3.0158
1248297559.779,1.0897665,1.9110477,3.0198
1248297559.785,1.0891433,1.9113217,3.0212
1248297559.835,1.0859357,1.9118431,3.0227
1248297559.868,1.0851991,1.9117476,3.0219
1248297559.91,1.0813508,1.911189,3.0176
1248297559.94,1.0780646,1.9123631,3.0204
1248297559.972,1.0774018,1.9126365,3.021
1248297559.994,1.074376,1.9130264,3.019
1248297560.026,1.073582,1.9129562,3.0176
1248297560.052,1.0706797,1.9124344,3.0122
1248297560.105,1.0678396,1.9137634,3.0192
1248297560.139,1.0673752,1.9141538,3.0213
1248297560.162,1.0662757,1.9147818,3.0245
1248297560.188,1.0664039,1.9146061,3.0237
1248297560.223,1.0683319,1.9133107,3.0189
1248297560.259,1.0686994,1.9131469,3.0185
1248297560.282,1.0686884,1.913074,3.0197
1248297560.311,1.0683064,1.9131379,3.0201
1248297560.34,1.0668112,1.9132356,3.0192
1248297560.362,1.0667537,1.913225,3.0186
1248297560.411,1.0671037,1.9131237,3.0159
1248297560.413,1.06697,1.9131419,3.016
1248297560.465,1.0645939,1.913484,3.0184
1248297560.493,1.0638762,1.9135744,3.0186
1248297560.524,1.0607797,1.9138181,3.0175
1248297560.548,1.0603719,1.9138553,3.0173
1248297560.584,1.0587417,1.9144031,3.0195
1248297560.611,1.0582702,1.9145774,3.0204
1248297560.644,1.0548416,1.915357,3.024
1248297560.663,1.0540952,1.9154234,3.0239
1248297560.698,1.050764,1.9151927,3.0192
1248297560.728,1.0501709,1.9150779,3.018
1248297560.766,1.0471704,1.9152352,3.018
1248297560.781,1.0465708,1.9154767,3.0193
1248297560.819,1.0434472,1.9168733,3.0254
1248297560.843,1.0428117,1.9170321,3.0255
1248297560.883,1.0391824,1.916898,3.0201
1248297560.921,1.0384645,1.9167159,3.0183
1248297560.942,1.0360505,1.9162585,3.0139
1248297560.981,1.0332247,1.9173368,3.0205
1248297561.013,1.0324927,1.9175995,3.0219
1248297561.044,1.0285055,1.9180159,3.0213
1248297561.072,1.0277991,1.9179273,3.0199
1248297561.095,1.0256002,1.9174705,3.0151
1248297561.125,1.0250974,1.9174933,3.0151
1248297561.151,1.0217988,1.9187751,3.0215
1248297561.184,1.0210055,1.9190785,3.0227
1248297561.21,1.0177117,1.9196854,3.0223
1248297561.26,1.0138914,1.919246,3.0148
1248297561.292,1.0133689,1.9192956,3.0147
1248297561.325,1.0103605,1.9205649,3.0201
1248297561.345,1.0096344,1.9208405,3.0212
1248297561.379,1.0056669,1.9211177,3.0197
1248297561.412,1.004892,1.9209642,3.0182
1248297561.444,1.0015358,1.9205564,3.0156
1248297561.465,1.0009705,1.9207375,3.0169
1248297561.502,0.9978419,1.9221546,3.0257
1248297561.53,0.9971154,1.9223326,3.0263
1248297561.568,0.9933681,1.9220948,3.0215
1248297561.627,0.9894093,1.9221472,3.0189
1248297561.683,0.9863013,1.9236742,3.0239
1248297561.735,0.982129,1.9234018,3.0171
1248297561.764,0.9814581,1.9232603,3.0158
1248297561.79,0.9783139,1.923785,3.0173
1248297561.813,0.9776696,1.9241051,3.0187
1248297561.862,0.973877,1.9249634,3.0213
1248297561.917,0.9691326,1.9242091,3.0148
1248297561.923,0.968481,1.924215,3.0149
1248297561.976,0.9658592,1.9254904,3.0228
1248297562.0,0.9653229,1.9257892,3.0245
1248297562.035,0.962031,1.9262998,3.0247
1248297562.063,0.9612888,1.926202,3.0233
1248297562.092,0.9574581,1.9257522,3.017
1248297562.132,0.9567556,1.9258345,3.0169
1248297562.153,0.9534744,1.9271627,3.0229
1248297562.185,0.952819,1.9273807,3.0238
1248297562.211,0.9494578,1.9273349,3.0201
1248297562.233,0.9487693,1.9271466,3.0186
1248297562.27,0.945423,1.9269535,3.0176
1248297562.296,0.944772,1.9272129,3.0193
1248297562.33,0.9412148,1.9288585,3.027
1248297562.348,0.9404572,1.9290165,3.027
1248297562.395,0.9366307,1.9287412,3.0201
1248297562.417,0.9359048,1.9285844,3.0185
1248297562.452,0.9327478,1.9290852,3.0206
1248297562.483,0.9321422,1.929436,3.0228
1248297562.509,0.9288696,1.9306631,3.0285
1248297562.53,0.9281556,1.930665,3.0279
1248297562.581,0.9245643,1.9297964,3.0196
1248297562.631,0.9206557,1.9305568,3.0231
1248297562.654,0.9199927,1.9309437,3.0251
1248297562.691,0.9166403,1.9318183,3.0266
1248297562.717,0.9159867,1.931734,3.025
1248297562.75,0.9128478,1.9308736,3.0157
1248297562.78,0.912219,1.9308932,3.0154
1248297562.815,0.9096944,1.9321035,3.0208
1248297562.827,0.9090424,1.9325348,3.0226
1248297562.861,0.9064887,1.9334763,3.0253
1248297562.915,0.9023746,1.9324301,3.0179
1248297562.936,0.9016575,1.9322775,3.0173
1248297562.97,0.8983415,1.9330893,3.023
1248297562.998,0.8977179,1.9334364,3.0248
1248297563.022,0.8950764,1.9343199,3.0263
1248297563.045,0.8943837,1.9343105,3.0249
1248297563.079,0.8909058,1.9333973,3.0151
1248297563.101,0.8902026,1.9332758,3.0143
1248297563.149,0.8868244,1.9342698,3.0222
1248297563.171,0.8861403,1.9346512,3.0247
1248297563.203,0.882322,1.9355256,3.0273
1248297563.234,0.881527,1.9354461,3.0257
1248297563.261,0.8781608,1.9345896,3.0168
1248297563.282,0.877655,1.9346131,3.0166
1248297563.335,0.8749385,1.9361379,3.0254
1248297563.387,0.8702736,1.9366114,3.0264
1248297563.416,0.869396,1.9363918,3.0246
1248297563.445,0.8654228,1.9359633,3.0212
1248297563.451,0.8647765,1.936279,3.0226
1248297563.5,0.8615582,1.9384467,3.0315
1248297563.53,0.8608642,1.9386618,3.0318
1248297563.557,0.8581517,1.9384897,3.0266
1248297563.578,0.857497,1.9382525,3.0242
1248297563.606,0.8552605,1.9377791,3.0187
1248297563.633,0.8547799,1.9379886,3.0193
1248297563.666,0.8520454,1.9401549,3.0278
1248297563.688,0.8513714,1.9403935,3.0286
1248297563.713,0.8484301,1.9399338,3.026
1248297563.736,0.8476453,1.9395617,3.0243
1248297563.77,0.8437693,1.9384492,3.0231
1248297563.788,0.8430224,1.9386842,3.0266
1248297563.839,0.8400119,1.9410124,3.0579
1248297563.898,0.8387179,1.9414621,3.0891
1248297563.954,0.837252,1.9408696,3.1019
1248297563.957,0.8367487,1.9408424,3.1032
1248297564.01,0.8332842,1.9406284,3.1149
1248297564.033,0.8325035,1.9406345,3.1192
1248297564.084,0.8290515,1.9411668,-3.1353
1248297564.145,0.8259718,1.941041,-3.1081
1248297564.196,0.8236341,1.9413916,-3.0842
1248297564.256,0.821181,1.9414598,-3.0669
1248297564.306,0.8181115,1.9412843,-3.0414
1248297564.337,0.8175773,1.941155,-3.0378
1248297564.379,0.8148363,1.9407038,-3.0187
1248297564.408,0.8128627,1.940818,-2.9996
1248297564.436,0.8123968,1.9407989,-2.9954
1248297564.481,0.8101068,1.9400902,-2.9779
1248297564.519,0.8077087,1.9396622,-2.9572
1248297564.582,0.8048666,1.9396807,-2.9312
1248297564.632,0.801917,1.9399491,-2.9098
1248297564.674,0.7981555,1.9395638,-2.8946
1248297564.701,0.7974414,1.9394362,-2.8909
1248297564.724,0.7953308,1.939276,-2.8724
1248297564.75,0.7950129,1.9393175,-2.8674
1248297564.786,0.7940174,1.9392686,-2.849
1248297564.798,0.7936852,1.9391569,-2.8447
1248297564.825,0.7916359,1.9386583,-2.8269
1248297564.853,0.7910271,1.9385397,-2.8227
1248297564.883,0.7889316,1.9378659,-2.811
1248297564.886,0.7885288,1.9376323,-2.8095
1248297564.93,0.7868576,1.9370193,-2.8018
1248297564.973,0.7847701,1.9373472,-2.7833
1248297564.998,0.7843439,1.9373468,-2.7798
1248297565.022,0.78237,1.9368835,-2.768
1248297565.054,0.7817322,1.9367115,-2.7653
1248297565.078,0.7789695,1.9361145,-2.7511
1248297565.131,0.7761192,1.9355417,-2.7267
1248297565.176,0.7742999,1.9349167,-2.7007
1248297565.228,0.7724722,1.9336067,-2.679
1248297565.256,0.7720501,1.9332076,-2.6746
1248297565.298,0.7696253,1.9312425,-2.6462
1248297565.323,0.7674219,1.9299244,-2.6279
1248297565.348,0.7669377,1.9295747,-2.6241
1248297565.373,0.7648997,1.9283843,-2.6099
1248297565.399,0.7644031,1.9281869,-2.6062
1248297565.433,0.7624176,1.9275711,-2.5918
1248297565.442,0.7619284,1.9273974,-2.5881
1248297565.48,0.7599789,1.9265314,-2.5741
1248297565.533,0.7576843,1.9254065,-2.5595
1248297565.536,0.7572468,1.9251697,-2.5566
1248297565.561,0.7568125,1.9249352,-2.5536
1248297565.597,0.7549689,1.9241295,-2.5364
1248297565.608,0.7544621,1.9239561,-2.5307
1248297565.636,0.7525344,1.9229211,-2.5077
1248297565.668,0.7521409,1.9225171,-2.5028
1248297565.691,0.7508593,1.9205311,-2.4863
1248297565.737,0.7486367,1.9180032,-2.4627
1248297565.794,0.746031,1.9162387,-2.4396
1248297565.901,0.7446993,1.9121584,-2.4119
1248297566.012,0.7382144,1.9102079,-2.3571
1248297566.06,0.7360548,1.9081525,-2.3358
1248297566.109,0.7346345,1.9063503,-2.3202
1248297566.115,0.7342554,1.9060152,-2.3161
1248297566.166,0.732626,1.9047991,-2.2965
1248297566.219,0.7304217,1.9031495,-2.271
1248297566.27,0.7291915,1.9012861,-2.2577
1248297566.309,0.7273003,1.8991202,-2.2401
1248297566.368,0.7256436,1.8967331,-2.2214
1248297566.4,0.7244374,1.8952054,-2.2049
1248297566.421,0.7241222,1.8948439,-2.2007
1248297566.453,0.7229408,1.8932843,-2.1855
1248297566.473,0.7225897,1.8928702,-2.1816
1248297566.505,0.7210038,1.8910269,-2.1657
1248297566.53,0.7206727,1.8905172,-2.1621
1248297566.566,0.7198436,1.888408,-2.1484
1248297566.576,0.7196349,1.8878775,-2.1445
1248297566.617,0.7183165,1.8859752,-2.1258
1248297566.63,0.7178869,1.8855837,-2.1215
1248297566.658,0.7163965,1.8839883,-2.1098
1248297566.701,0.7152474,1.8817913,-2.0963
1248297566.717,0.7149584,1.881386,-2.0924
1248297566.752,0.7136449,1.8797076,-2.0752
1248297566.772,0.7133628,1.8792444,-2.0708
1248297566.803,0.7123779,1.8772003,-2.0522
1248297566.827,0.7120861,1.8767055,-2.0471
1248297566.85,0.7107219,1.8748419,-2.0266
1248297566.873,0.7104035,1.8743833,-2.0224
1248297566.906,0.7093945,1.8726334,-2.0092
1248297566.933,0.7091125,1.8722365,-2.006
1248297566.955,0.7081963,1.8711596,-1.9956
1248297566.993,0.707054,1.8696196,-1.9796
1248297567.015,0.7068577,1.8693095,-1.9771
1248297567.05,0.7055322,1.8677343,-1.9638
1248297567.102,0.7037541,1.8653609,-1.9419
1248297567.149,0.7033844,1.8630021,-1.9224
1248297567.21,0.7024866,1.8600259,-1.9003
1248297567.255,0.7019072,1.8574811,-1.8757
1248297567.305,0.7009995,1.8556395,-1.8489
1248297567.309,0.7007673,1.8551685,-1.845
1248297567.338,0.7001248,1.8534712,-1.836
1248297567.347,0.6999434,1.8528494,-1.8331
1248297567.386,0.6994107,1.8501017,-1.8179
1248297567.413,0.6993518,1.8493461,-1.8133
1248297567.446,0.6995786,1.846165,-1.7962
1248297567.483,0.6992057,1.8431174,-1.778
1248297567.507,0.6989281,1.8426587,-1.7741
